site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"High Road Broxbourne, Broxbourne, EN10 7DD, Broxbourne School",,,,,6.093,,,,,owned by a public authority,,,permissioned,,POINT(-5.002568 54.685449),BR01,,,
"Park Lane Paradise, Cheshunt, EN7 6TD, Cheshunt Park Farm",,,,,2.238,,,,,not owned by a public authority,,,permissioned,,POINT(-5.032888 54.666694),BR02,,,
"Rosedale Way, Cheshunt, Waltham Cross, Hertfordshire, EN7 6HR, Fourfields",,,,,0.5224,,,,,owned by a public authority,,,permissioned,,POINT(-5.048675 54.663744),BR03,,,
"6 Windmill Lane, Cheshunt, EN8 9AA, Wolsey Hall",,,,,0.158,,,,,owned by a public authority,,,permissioned,,POINT(-5.069064 54.679898),BR04,,,
"Delamare Road, Cheshunt, Cheshunt Lakeside",,,,,12.46,,,,,not owned by a public authority,,,not permissioned,,POINT(-5.063678 54.684197),BR05,,,
"Bishops College, Churchgate, Cheshunt, EN8 9XG, Broxbourne Borough Council Offices and Car Park",,,,,1.911,,,,,owned by a public authority,,,not permissioned,,POINT(-5.067554 54.671808),BR06,,,
"Theobalds Lane, Cheshunt, Hertfordshire, EN8 8RU, Cheshunt Football Club",,,,,5.304,,,,,owned by a public authority,,,not permissioned,,POINT(-5.082967 54.674986),BR07,,,
"577-579 Goffs Lane, Goffs Oak, EN7 5HJ, South of Goffs Lane",,,,,1.883,,,,,not owned by a public authority,,,not permissioned,,POINT(-5.057745 54.649462),BR08,,,
"104 Cuffley Hill, Goffs Oak, EN7 5EY, CG Edwards",,,,,1.208,,,,,not owned by a public authority,,,not permissioned,,POINT(-5.053771 54.641345),BR09,,,
"Rye Road, Hoddesdon, EN11, Turnford Surfacing Site",,,,,0.5787,,,,,not owned by a public authority,,,not permissioned,,POINT(-4.952312 54.705196),BR10,,,
"Lord Street, Hoddesdon, EN11 8NL, Rosehill Bowls Club",,,,,0.3019,,,,,not owned by a public authority,,,not permissioned,,POINT(-4.967868 54.687761),BR11,,,
"Essex Road, Hoddesdon, EN11 0BX, Oaklands Yard",,,,,0.908,,,,,not owned by a public authority,,,permissioned,,POINT(-0.003161 51.763356),BR12,,,
"Amwell Street, Hoddesdon, EN11 8TS, 19 Amwell Street and Scania House",,,,,0.3858,,,,,not owned by a public authority,,,not permissioned,,POINT(-4.964369 54.694257),BR13,,,
"Police Station, High Street, Hoddesdon, EN11 8BJ, Former Hoddesdon Police Station",,,,,0.321,,,,,owned by a public authority,,,not permissioned,,POINT(-4.978803 54.692968),BR14,,,
"16 Westfield Road, Hoddesdon, EN11 8QX, Westfield Primary School",,,,,1.272,,,,,,,,not permissioned,,POINT(-4.960994 54.689692),BR15,,,
"Waltham Cross, Northern High Street/Land Off Sturlas Way",,,,,2.641,,,,,not owned by a public authority,,,not permissioned,,POINT(-5.09407 54.679603),BR16,,,
"High Street, Waltham Cross, EN8 7BG, Theobalds Grove Station Cark Park",,,,,0.3539,,,,,owned by a public authority,,,not permissioned,,POINT(-5.087546 54.678699),BR17,,,
"High Road, Turnford, EN10 6DB, New River Arms",,,,,0.504,,,,,not owned by a public authority,,,permissioned,,POINT(-0.026442 51.725307),BR18,,,
"74 High Road, Wormley, EN10 6DU, 74 High Road",,,,,0.076,,,,,not owned by a public authority,,,permissioned,,POINT(-0.025184 51.729926),BR19,,,
"56-58 Turners Hill, Cheshunt, EN8 9BD, 56-58 Turners Hill",,,,,0.061,,,,,not owned by a public authority,,,permissioned,,POINT(-0.034302 51.701339),BR20,,,
"110 Turners Hill, Cheshunt, EN8 9BN, 110 Turners Hill",,,,,0.077,,,,,not owned by a public authority,,,permissioned,,POINT(-0.033744 51.701528),BR21,,,
"210A Windmill Lane, Cheshunt, EN8 9AF, The Windmill",,,,,0.022,,,,,not owned by a public authority,,,permissioned,,POINT(-0.024402 51.703026),BR22,,,
"134 Crossbrook Street, Cheshunt, EN8 8JH, 134 Crossbrook Street",,,,,0.042,,,,,not owned by a public authority,,,permissioned,,POINT(-0.034247 51.697247),BR23,,,
"90 Ware Road, Hoddesdon, EN11 9ET, The Coach House",,,,,0.148,,,,,not owned by a public authority,,,permissioned,,POINT(-4.954404 54.693404),BR24,,,
"Rear of 40 Park Lane, Waltham Cross, EN8 8BE, Rear of 40 Park Lane",,,,,0.26,,,,,not owned by a public authority,,,permissioned,,POINT(-5.095576 54.677982),BR25,,,
"75-81 High Street, Waltham Cross, EN8 7AF, 75-81 High Street",,,,,0.076,,,,,not owned by a public authority,,,permissioned,,POINT(-5.099954 54.679857),BR26,,,
"Fitzpatrick Contractors Ltd, Woollens Brook, Hertford Road, Hoddesdon, EN11 9BX, Volker Fitzpatrick",,,,,1.532,,,,,not owned by a public authority,,,permissioned,,POINT(-4.951293 54.681333),BR27,,,
"St Laurence Drive, Wormley, EN10 6LH, Former Wormley Primary",,,,,0.384,,,,,,,,permissioned,,POINT(-0.024581 51.734448),BR28,,,
"Trust Road, Waltham Cross, EN8 7HF, Wellington House",,,,,0.095,,,,,not owned by a public authority,,,permissioned,,POINT(-5.098017 54.683754),BR29,,,
"Cameron Drive, EN8 8BN, Former Rivers Education Centre",,,,,0.06,,,,,not owned by a public authority,,,permissioned,,POINT(-0.040098 51.683083),BR30,,,
"Cameron Drive, EN8 8BN, Former Rivers Education Centre Car Park",,,,,0.03,,,,,not owned by a public authority,,,permissioned,,POINT(-0.040085 51.68337),BR31,,,
